experimento,modelo,dataset,escopo,alvo,esparsidade_alvo,esparsidade_real,cabecas_removidas,neuronios_removidos,perplexity,parametros_total,parametros_nao_zerados,tamanho_mb,flops,tempo_inferencia_ms_media,tempo_inferencia_ms_desvio,energia_kwh,emissoes_kg_co2
estruturada_ambos_global_s00,gpt2,wikitext-2-raw-v1,global,ambos,0.0,0.0,0,0,25.170412063598633,124439808,124439808,474.7001953125,126575443968.0,40.534873962402344,0.2820267975330353,0.0011759634654087147,0.0002569885333346933
estruturada_ambos_global_s10,gpt2,wikitext-2-raw-v1,global,ambos,0.1,0.09904516241342964,14,3686,356.201416015625,116019226,116019226,442.5782241821289,117959294976.0,39.24393844604492,0.48588114976882935,0.0011464542120857048,0.0002505397447844074
estruturada_ambos_global_s20,gpt2,wikitext-2-raw-v1,global,ambos,0.2,0.1980903248268594,28,7372,2102.062744140625,107598644,107598644,410.4562530517578,109343145984.0,36.807899475097656,0.47912323474884033,0.001111648840567086,0.00024293357193818705
estruturada_ambos_global_s30,gpt2,wikitext-2-raw-v1,global,ambos,0.3,0.2994683806647094,43,11059,2413.522705078125,98979725,98979725,377.57768630981445,100524097536.0,33.70067596435547,0.5136292576789856,0.001017093717438372,0.0002222700197727428
estruturada_ambos_global_s40,gpt2,wikitext-2-raw-v1,global,ambos,0.4,0.39851354307813913,57,14745,2434.916015625,90559143,90559143,345.45571517944336,91907948544.0,30.627513885498047,0.4706769585609436,0.0009245649054901384,0.00020204928641389335
estruturada_ambos_global_s50,gpt2,wikitext-2-raw-v1,global,ambos,0.5,0.4998915989159891,72,18432,2402.58349609375,81940224,81940224,312.5771484375,83088900096.0,27.90781021118164,0.432135671377182,0.000839500671780835,0.0001834598205816401
estruturada_ambos_global_s60,gpt2,wikitext-2-raw-v1,global,ambos,0.6,0.5989367613294189,86,22118,2957.2607421875,73519642,73519642,280.4551773071289,74472751104.0,25.453327178955078,0.6610552668571472,0.0007505694252511543,0.00016402527921572656
estruturada_ambos_global_s70,gpt2,wikitext-2-raw-v1,global,ambos,0.7,0.6979819237428486,100,25804,4635.36474609375,65099060,65099060,248.3332061767578,65856602112.0,22.570585250854492,0.9737542867660522,0.000656246164087084,0.00014341239687803008
estruturada_ambos_global_s80,gpt2,wikitext-2-raw-v1,global,ambos,0.8,0.7993599795806986,115,29491,7620.0234375,56480141,56480141,215.45463943481445,57037553664.0,20.399200439453125,0.9415244460105896,0.0005747526976804337,0.0001256032667270978
estruturada_ambos_global_s90,gpt2,wikitext-2-raw-v1,global,ambos,0.9,0.8984051419941282,129,33177,5822.88916015625,48059559,48059559,183.33266830444336,48421404672.0,18.027179718017578,1.001016616821289,0.0004855785395703922,0.00010611564081170361
estruturada_ambos_uniforme_s00,gpt2,wikitext-2-raw-v1,uniforme,ambos,0.0,0.0,0,0,25.170412063598633,124439808,124439808,474.7001953125,126575443968.0,41.99924850463867,0.4741159975528717,0.0012614047945298066,0.00027566040750670655
estruturada_ambos_uniforme_s10,gpt2,wikitext-2-raw-v1,uniforme,ambos,0.1,0.09437937556458897,12,3684,481.1334228515625,116415900,116415900,444.09141540527344,118365093888.0,40.14593505859375,0.6981117725372314,0.001194453598809857,0.00026102926453400047
estruturada_ambos_uniforme_s20,gpt2,wikitext-2-raw-v1,uniforme,ambos,0.2,0.18875875112917795,24,7368,1484.8883056640625,108391992,108391992,413.4826354980469,110154743808.0,36.83414840698242,0.45900824666023254,0.0011122876110532742,0.00024307316529734461
estruturada_ambos_uniforme_s30,gpt2,wikitext-2-raw-v1,uniforme,ambos,0.3,0.2831381266937669,36,11052,5467.5634765625,100368084,100368084,382.8738555908203,101944393728.0,34.455657958984375,0.4499967098236084,0.0010397505315617895,0.0002272213142669048
estruturada_ambos_uniforme_s40,gpt2,wikitext-2-raw-v1,uniforme,ambos,0.4,0.3775175022583559,48,14736,10486.7099609375,92344176,92344176,352.26507568359375,93734043648.0,31.59213638305664,0.34346699714660645,0.0009490920359391792,0.00020740930946428377
estruturada_ambos_uniforme_s50,gpt2,wikitext-2-raw-v1,uniforme,ambos,0.5,0.4998915989159891,72,18432,4573.001953125,81940224,81940224,312.5771484375,83088900096.0,27.266357421875,0.43802693486213684,0.0008290741155290799,0.00018118125880851651
estruturada_ambos_uniforme_s60,gpt2,wikitext-2-raw-v1,uniforme,ambos,0.6,0.5942709744805781,84,22116,5799.76220703125,73916316,73916316,281.96836853027344,74878550016.0,24.740108489990234,0.505440890789032,0.0007455355230358901,0.0001629251981457748
estruturada_ambos_uniforme_s70,gpt2,wikitext-2-raw-v1,uniforme,ambos,0.7,0.6886503500451671,96,25800,12249.58203125,65892408,65892408,251.35958862304688,66668199936.0,22.37857437133789,0.6629893183708191,0.0006831397927171936,0.0001492895813153014
estruturada_ambos_uniforme_s80,gpt2,wikitext-2-raw-v1,uniforme,ambos,0.8,0.783029725609756,108,29484,53313.37890625,57868500,57868500,220.7508087158203,58457849856.0,20.253633499145508,0.3616470992565155,0.0005739924501851477,0.00012543712645613536
estruturada_ambos_uniforme_s90,gpt2,wikitext-2-raw-v1,uniforme,ambos,0.9,0.8774091011743451,120,33168,827316.1875,49844592,49844592,190.14202880859375,50247499776.0,17.82083511352539,0.618911623954773,0.000504847438198741,0.00011032655904439987
