experimento,modelo,dataset,escopo,esparsidade_alvo,esparsidade_real,perplexity,parametros_total,parametros_nao_zerados,tamanho_mb,flops,tempo_inferencia_ms_media,tempo_inferencia_ms_desvio,energia_kwh,emissoes_kg_co2
magnitude_global_s00,gpt2,wikitext-2-raw-v1,global,0.0,0.0,25.170412063598633,124439808,124439808,474.7001953125,126575443968.0,54.00543212890625,1.4664474725723267,0.0015705428135278832,0.0007108603056549809
magnitude_global_s10,gpt2,wikitext-2-raw-v1,global,0.1,0.09999999293574581,25.403820037841797,124439808,115946343,474.7001953125,126575443968.0,54.11576461791992,1.8282227516174316,0.0015445873770570872,0.0006991123358803824
magnitude_global_s20,gpt2,wikitext-2-raw-v1,global,0.2,0.1999999976452486,26.874561309814453,124439808,107452877,474.7001953125,126575443968.0,54.42511749267578,1.4579235315322876,0.0015302121642554987,0.0006926058159192753
magnitude_global_s30,gpt2,wikitext-2-raw-v1,global,0.3,0.3000000141285084,40.22516632080078,124439808,98959410,474.7001953125,126575443968.0,53.756622314453125,1.5506824254989624,0.0015272831079564527,0.0006912800641867623
magnitude_global_s40,gpt2,wikitext-2-raw-v1,global,0.4,0.3999999952904972,165.19644165039062,124439808,90465946,474.7001953125,126575443968.0,53.15349578857422,1.6002166271209717,0.001512147071995702,0.000684429179857608
magnitude_global_s50,gpt2,wikitext-2-raw-v1,global,0.5,0.500000058868785,1096.498779296875,124439808,81972475,474.7001953125,126575443968.0,51.799415588378906,1.3087196350097656,0.0015063885028599212,0.0006818227318316537
magnitude_global_s60,gpt2,wikitext-2-raw-v1,global,0.6,0.6000000164832597,5121.24560546875,124439808,73479013,474.7001953125,126575443968.0,51.912376403808594,1.2992254495620728,0.0014869864131273243,0.0006730409429374826
magnitude_global_s70,gpt2,wikitext-2-raw-v1,global,0.7,0.6999999976452486,9371.162109375,124439808,64985549,474.7001953125,126575443968.0,51.39678955078125,1.0376402139663696,0.0014733595557153134,0.0006668731441728889
magnitude_global_s80,gpt2,wikitext-2-raw-v1,global,0.8,0.8000000259022654,8847.267578125,124439808,56492081,474.7001953125,126575443968.0,50.731971740722656,0.8105418682098389,0.0014495705089766935,0.0006561057273981308
magnitude_global_s90,gpt2,wikitext-2-raw-v1,global,0.9,0.9000000070642542,4612.689453125,124439808,47998617,474.7001953125,126575443968.0,50.81078338623047,0.7810352444648743,0.0014289571846415373,0.0006467757085592688
magnitude_uniforme_s00,gpt2,wikitext-2-raw-v1,uniforme,0.0,0.0,25.170412063598633,124439808,124439808,474.7001953125,126575443968.0,53.958221435546875,1.1662156581878662,0.0015718016909879535,0.0007114300997467687
magnitude_uniforme_s10,gpt2,wikitext-2-raw-v1,uniforme,0.1,0.09999975746060595,25.46707534790039,124439808,115946363,474.7001953125,126575443968.0,54.64813232421875,1.1254568099975586,0.0015392621333317502,0.0006967020199375926
magnitude_uniforme_s20,gpt2,wikitext-2-raw-v1,uniforme,0.2,0.19999977394386573,27.22064208984375,124439808,107452896,474.7001953125,126575443968.0,54.0211181640625,1.0895779132843018,0.0015249603849557302,0.0006902287515017317
magnitude_uniforme_s30,gpt2,wikitext-2-raw-v1,uniforme,0.3,0.29999967268955563,36.417724609375,124439808,98959439,474.7001953125,126575443968.0,53.611907958984375,0.9410509467124939,0.001533707383222895,0.0006941878246375943
magnitude_uniforme_s40,gpt2,wikitext-2-raw-v1,uniforme,0.4,0.39999971272032936,104.81604766845703,124439808,90465970,474.7001953125,126575443968.0,52.96379470825195,1.3647269010543823,0.001523070410920231,0.0006893733099887831
magnitude_uniforme_s50,gpt2,wikitext-2-raw-v1,uniforme,0.5,0.5,473.2821960449219,124439808,81972480,474.7001953125,126575443968.0,52.5439338684082,1.3603641986846924,0.0015021379500457135,0.0006798988433220987
magnitude_uniforme_s60,gpt2,wikitext-2-raw-v1,uniforme,0.6,0.599999745686849,2004.20263671875,124439808,73479036,474.7001953125,126575443968.0,52.4384765625,1.352357268333435,0.0014938893145907347,0.0006761653395485905
magnitude_uniforme_s70,gpt2,wikitext-2-raw-v1,uniforme,0.7,0.6999998092651367,6891.84912109375,124439808,64985565,474.7001953125,126575443968.0,52.43646240234375,1.3658103942871094,0.0014784840001754779,0.0006691925741966282
magnitude_uniforme_s80,gpt2,wikitext-2-raw-v1,uniforme,0.8,0.7999996844633126,10870.998046875,124439808,56492110,474.7001953125,126575443968.0,51.939918518066406,1.1914722919464111,0.0014556402832926164,0.0006588530333539496
magnitude_uniforme_s90,gpt2,wikitext-2-raw-v1,uniforme,0.9,0.8999997244940864,13996.8818359375,124439808,47998641,474.7001953125,126575443968.0,51.03693771362305,0.9811569452285767,0.001432062942297922,0.0006481814389971095
