experimento,modelo,dataset,estrategia,escopo,esparsidade_alvo,esparsidade_real,cabecas_removidas,neuronios_removidos,taxa_sonda,beta,taxas_por_camada,perplexity,parametros_total,parametros_nao_zerados,tamanho_mb,flops,tempo_inferencia_ms_media,tempo_inferencia_ms_desvio,energia_kwh,emissoes_kg_co2
sensibilidade_magnitude_s00,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.0,0.0,0,0,0.5,1.0,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,25.170412063598633,124439808,124439808,474.7001953125,126575443968.0,46.05155944824219,1.168458342552185,0.001531138650310087,0.00021244521771678063
sensibilidade_magnitude_s10,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.1,0.09999994584071784,0,0,0.5,1.0,0.0167;0.1887;0.0702;0.1507;0.0323;0.0503;0.0887;0.1330;0.1188;0.1068;0.1219;0.1219,25.435619354248047,124439808,115946347,474.7001953125,126575443968.0,47.156070709228516,0.9696293473243713,0.00147227779049549,0.0002042782837975196
sensibilidade_magnitude_s20,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.2,0.19999995055022063,0,0,0.5,1.0,0.0335;0.3774;0.1405;0.3013;0.0645;0.1005;0.1775;0.2661;0.2377;0.2136;0.2437;0.2437,26.787216186523438,124439808,107452881,474.7001953125,126575443968.0,45.86100769042969,1.0552716255187988,0.001472927178565706,0.0002043683862777436
sensibilidade_magnitude_s30,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.3,0.29999990816469546,0,0,0.5,1.0,0.0502;0.5661;0.2107;0.4520;0.0968;0.1508;0.2662;0.3991;0.3565;0.3204;0.3656;0.3656,34.624122619628906,124439808,98959419,474.7001953125,126575443968.0,45.592491149902344,1.1597257852554321,0.0014719636326788706,0.00020423469445586488
sensibilidade_magnitude_s40,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.4,0.39999992464795525,0,0,0.5,1.0,0.0669;0.7548;0.2810;0.6027;0.1290;0.2011;0.3549;0.5321;0.4753;0.4272;0.4875;0.4874,193.83251953125,124439808,90465952,474.7001953125,126575443968.0,45.64603042602539,1.0569794178009033,0.0014586334802369543,0.00020238513815529913
sensibilidade_magnitude_s50,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.5,0.49999994113121504,0,0,0.5,1.0,0.0837;0.9435;0.3512;0.7533;0.1613;0.2513;0.4436;0.6652;0.5941;0.5340;0.6094;0.6093,1026.089599609375,124439808,81972485,474.7001953125,126575443968.0,44.942100524902344,1.2568565607070923,0.0014421390019289098,0.00020009653219883164
sensibilidade_magnitude_s60,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.6,0.5999999811619888,0,0,0.5,1.0,0.1034;0.9500;0.4341;0.9311;0.1994;0.3107;0.5484;0.8222;0.7344;0.6601;0.7532;0.7531,1524.550537109375,124439808,73479016,474.7001953125,126575443968.0,44.35841751098633,1.2978515625,0.0014422521677646628,0.00020011223393858577
sensibilidade_magnitude_s70,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.7,0.6999999387764636,0,0,0.5,1.0,0.1277;0.9500;0.5358;0.9500;0.2461;0.3834;0.6768;0.9500;0.9064;0.8147;0.9296;0.9295,1853.298095703125,124439808,64985554,474.7001953125,126575443968.0,44.477134704589844,1.2750511169433594,0.0014336864362993285,0.00019892374020832307
sensibilidade_magnitude_s80,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.8,0.7999999317122094,0,0,0.5,1.0,0.1975;0.9500;0.8288;0.9500;0.3806;0.5931;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500,2747.563720703125,124439808,56492089,474.7001953125,126575443968.0,43.08843231201172,1.1838537454605103,0.001425255356255084,0.00019775392933899105
sensibilidade_magnitude_s90,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.9,0.8999999246479552,0,0,0.5,1.0,0.4441;0.9500;0.9500;0.9500;0.8559;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500,10398.0986328125,124439808,47998624,474.7001953125,126575443968.0,43.293418884277344,1.067704677581787,0.0014268328155081903,0.00019797280153217723
