experimento,modelo,dataset,estrategia,camada,taxa_sonda,perplexity,perplexity_baseline,delta_log_ppl
perfil_magnitude_c00,gpt2,wikitext-2-raw-v1,magnitude,0,0.5,37.17181396484375,25.170412063598633,0.38988161087036133
perfil_magnitude_c01,gpt2,wikitext-2-raw-v1,magnitude,1,0.5,26.05602264404297,25.170412063598633,0.034579791128635406
perfil_magnitude_c02,gpt2,wikitext-2-raw-v1,magnitude,2,0.5,27.620710372924805,25.170412063598633,0.09289666265249252
perfil_magnitude_c03,gpt2,wikitext-2-raw-v1,magnitude,3,0.5,26.284460067749023,25.170412063598633,0.04330875352025032
perfil_magnitude_c04,gpt2,wikitext-2-raw-v1,magnitude,4,0.5,30.813472747802734,25.170412063598633,0.20228280127048492
perfil_magnitude_c05,gpt2,wikitext-2-raw-v1,magnitude,5,0.5,28.65936279296875,25.170412063598633,0.12981104850769043
perfil_magnitude_c06,gpt2,wikitext-2-raw-v1,magnitude,6,0.5,27.091230392456055,25.170412063598633,0.07354088872671127
perfil_magnitude_c07,gpt2,wikitext-2-raw-v1,magnitude,7,0.5,26.43576431274414,25.170412063598633,0.04904859885573387
perfil_magnitude_c08,gpt2,wikitext-2-raw-v1,magnitude,8,0.5,26.591262817382812,25.170412063598633,0.054913561791181564
perfil_magnitude_c09,gpt2,wikitext-2-raw-v1,magnitude,9,0.5,26.756099700927734,25.170412063598633,0.061093270778656006
perfil_magnitude_c10,gpt2,wikitext-2-raw-v1,magnitude,10,0.5,26.554821014404297,25.170412063598633,0.053542185574769974
perfil_magnitude_c11,gpt2,wikitext-2-raw-v1,magnitude,11,0.5,26.554922103881836,25.170412063598633,0.053545914590358734
perfil_estruturada_c00,gpt2,wikitext-2-raw-v1,estruturada,0,0.5,1386.432861328125,25.170412063598633,4.008820056915283
perfil_estruturada_c01,gpt2,wikitext-2-raw-v1,estruturada,1,0.5,27.66332244873047,25.170412063598633,0.09443829208612442
perfil_estruturada_c02,gpt2,wikitext-2-raw-v1,estruturada,2,0.5,29.911304473876953,25.170412063598633,0.17256726324558258
perfil_estruturada_c03,gpt2,wikitext-2-raw-v1,estruturada,3,0.5,30.229528427124023,25.170412063598633,0.183150053024292
perfil_estruturada_c04,gpt2,wikitext-2-raw-v1,estruturada,4,0.5,31.312829971313477,25.170412063598633,0.21835869550704956
perfil_estruturada_c05,gpt2,wikitext-2-raw-v1,estruturada,5,0.5,29.797527313232422,25.170412063598633,0.16875627636909485
perfil_estruturada_c06,gpt2,wikitext-2-raw-v1,estruturada,6,0.5,28.904428482055664,25.170412063598633,0.13832561671733856
perfil_estruturada_c07,gpt2,wikitext-2-raw-v1,estruturada,7,0.5,28.312063217163086,25.170412063598633,0.11761877685785294
perfil_estruturada_c08,gpt2,wikitext-2-raw-v1,estruturada,8,0.5,28.45014762878418,25.170412063598633,0.12248417735099792
perfil_estruturada_c09,gpt2,wikitext-2-raw-v1,estruturada,9,0.5,27.63498306274414,25.170412063598633,0.09341330081224442
perfil_estruturada_c10,gpt2,wikitext-2-raw-v1,estruturada,10,0.5,28.890270233154297,25.170412063598633,0.13783572614192963
perfil_estruturada_c11,gpt2,wikitext-2-raw-v1,estruturada,11,0.5,48.86982727050781,25.170412063598633,0.6634910106658936
