experimento,modelo,dataset,estrategia,camada,taxa_sonda,perplexity,perplexity_baseline,delta_log_ppl
perfil_magnitude_c00,gpt2,wikitext-2-raw-v1,magnitude,0,0.3,26.23402976989746,25.170412063598633,0.04138827696442604
perfil_magnitude_c01,gpt2,wikitext-2-raw-v1,magnitude,1,0.3,25.34078598022461,25.170412063598633,0.006746016908437014
perfil_magnitude_c02,gpt2,wikitext-2-raw-v1,magnitude,2,0.3,25.477970123291016,25.170412063598633,0.012145020999014378
perfil_magnitude_c03,gpt2,wikitext-2-raw-v1,magnitude,3,0.3,25.356149673461914,25.170412063598633,0.007352081127464771
perfil_magnitude_c04,gpt2,wikitext-2-raw-v1,magnitude,4,0.3,26.17266845703125,25.170412063598633,0.039046548306941986
perfil_magnitude_c05,gpt2,wikitext-2-raw-v1,magnitude,5,0.3,26.056543350219727,25.170412063598633,0.03459971025586128
perfil_magnitude_c06,gpt2,wikitext-2-raw-v1,magnitude,6,0.3,25.58750343322754,25.170412063598633,0.016434891149401665
perfil_magnitude_c07,gpt2,wikitext-2-raw-v1,magnitude,7,0.3,25.3654727935791,25.170412063598633,0.007719683926552534
perfil_magnitude_c08,gpt2,wikitext-2-raw-v1,magnitude,8,0.3,25.441476821899414,25.170412063598633,0.010711554437875748
perfil_magnitude_c09,gpt2,wikitext-2-raw-v1,magnitude,9,0.3,25.51831817626953,25.170412063598633,0.013727424666285515
perfil_magnitude_c10,gpt2,wikitext-2-raw-v1,magnitude,10,0.3,25.367504119873047,25.170412063598633,0.007799764629453421
perfil_magnitude_c11,gpt2,wikitext-2-raw-v1,magnitude,11,0.3,25.504833221435547,25.170412063598633,0.01319874543696642
perfil_estruturada_c00,gpt2,wikitext-2-raw-v1,estruturada,0,0.3,772.1121826171875,25.170412063598633,3.4234607219696045
perfil_estruturada_c01,gpt2,wikitext-2-raw-v1,estruturada,1,0.3,29.516036987304688,25.170412063598633,0.15926460921764374
perfil_estruturada_c02,gpt2,wikitext-2-raw-v1,estruturada,2,0.3,28.671459197998047,25.170412063598633,0.13023298978805542
perfil_estruturada_c03,gpt2,wikitext-2-raw-v1,estruturada,3,0.3,29.027278900146484,25.170412063598633,0.14256685972213745
perfil_estruturada_c04,gpt2,wikitext-2-raw-v1,estruturada,4,0.3,29.419965744018555,25.170412063598633,0.156004399061203
perfil_estruturada_c05,gpt2,wikitext-2-raw-v1,estruturada,5,0.3,27.620952606201172,25.170412063598633,0.09290546178817749
perfil_estruturada_c06,gpt2,wikitext-2-raw-v1,estruturada,6,0.3,28.723281860351562,25.170412063598633,0.13203881680965424
perfil_estruturada_c07,gpt2,wikitext-2-raw-v1,estruturada,7,0.3,26.530431747436523,25.170412063598633,0.05262323096394539
perfil_estruturada_c08,gpt2,wikitext-2-raw-v1,estruturada,8,0.3,26.859968185424805,25.170412063598633,0.06496785581111908
perfil_estruturada_c09,gpt2,wikitext-2-raw-v1,estruturada,9,0.3,26.715559005737305,25.170412063598633,0.059576939791440964
perfil_estruturada_c10,gpt2,wikitext-2-raw-v1,estruturada,10,0.3,27.499399185180664,25.170412063598633,0.08849503099918365
perfil_estruturada_c11,gpt2,wikitext-2-raw-v1,estruturada,11,0.3,43.136497497558594,25.170412063598633,0.5387002825737
